Labels,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
1,0.5,0.725321888,0.573294256,0.315017862,0.562578664,0.046091193,0.149088861,0.10506034,0.075913886,0.064558223,0.847157995,0.797309355,0.738391185,0.700471983,0.404919875,0.39001564,0.384414728,0.374689961,0.770105247,0.754981341,0.749704929,0.744878147,0.387840488,0.372444484,0.362237785,0.362657035,0.426044549,0.42577663,0.426029828,0.426163061,0.775718497,0.76707718,0.770860668,0.769462612,0.607172661,0.606177673,0.605378782,0.604291063,0.088371416,0.08780596,0.089051563,0.08865773,0.426364576,0.443770015,0.455755699,0.470526066,0.37453062,0.376016151,0.334439868,0.358986563,0.566529874,0.05989339,0.277700898,0.500226963,0.278090483,0.206563511,0.378058699,0.199496382,0.393685027,0.016850692,0.065506628
1,0.144859813,0.879828326,0.572663268,0.597310635,0.326979197,0.179200319,0.469187812,0.45649364,0.403966987,0.367882225,0.877702902,0.745585064,0.548934206,0.386340877,0.143454253,0.124057587,0.109535192,0.100858206,0.435510877,0.391990034,0.346740431,0.335482741,0.734031678,0.728210398,0.722192047,0.714956736,0.431913192,0.433806859,0.435662737,0.436972889,0.437214444,0.399237224,0.373282035,0.365940588,0.603559326,0.606505085,0.608750558,0.610546847,0.336841377,0.312095325,0.290885838,0.264991689,0.7611328,0.772505786,0.770519515,0.755998346,0.718927629,0.746724274,0.690847982,0.737209697,0.511623329,0.128473534,0.175891598,0.339990921,0.264925318,0.125989337,0.517024433,0.12602898,0.433175694,0.06433513,0.052067042
1,0.26635514,0.802575107,0.549686166,0.48999917,0.447287917,0.096224357,0.305305183,0.256580616,0.220745903,0.210259087,0.901019203,0.838949962,0.741693135,0.649944983,0.169361144,0.141052459,0.124239001,0.112266233,0.538838252,0.467027768,0.41776432,0.40580553,0.669105988,0.671025795,0.675514981,0.681454416,0.39680459,0.399266657,0.400761206,0.402089533,0.549159912,0.487443376,0.454824849,0.444068424,0.577207883,0.581211252,0.584417498,0.587622261,0.258085687,0.259474035,0.264091875,0.258969543,0.723659251,0.757372655,0.767527113,0.765683775,0.585670781,0.608646258,0.567971251,0.617232981,0.419175209,0.097771321,0.161377039,0.362233318,0.272154054,0.117228028,0.449318949,0.100464346,0.27543288,0.043810936,0.049042354
1,0.196261682,0.884120172,0.537307175,0.666515246,0.461602487,0.06560898,0.839032037,0.744349549,0.584653716,0.490782481,0.816487757,0.673972884,0.511598709,0.407860518,0.016488325,0.014088862,0.016978715,0.020196958,0,0,0.021691986,0.082082215,0.920156289,0.90711911,0.886465976,0.870323181,0.388885812,0.388640967,0.389040204,0.389188053,0,0,0.044283718,0.106833098,0.56096704,0.561621087,0.563113793,0.564395848,0.423655573,0.400397549,0.388101707,0.36883907,0.893450201,0.877590411,0.864863058,0.85303187,0.948260096,0.922940004,0.807180604,0.822823561,0.685056242,0.030992111,0.411514514,0.632773491,0.398827047,0.147481146,0.415048729,0.183181446,0.476660701,0.013883199,0.022316086
1,0.140186916,0.798283262,0.408365575,0.686092493,0.565413426,0.087171929,0.548055256,0.527778113,0.483349554,0.463070608,0.900904008,0.796883522,0.626358427,0.467211991,0.064781358,0.060072743,0.058757096,0.058854853,0.288750126,0.249908982,0.225002388,0.244468765,0.834989859,0.82072058,0.80990432,0.797766969,0.248725068,0.240802748,0.233056837,0.227102317,0.294649963,0.26128558,0.253401391,0.273840435,0.420078341,0.415443935,0.410669172,0.406728456,0.465242261,0.443936639,0.423320506,0.395138599,0.861478371,0.865837107,0.855506123,0.841242096,0.787378016,0.798057754,0.740927734,0.791983492,0.605882249,0.05880735,0.289854263,0.49931911,0.313826552,0.219680193,0.325570076,0.208010829,0.353755453,0.014066388,0.081336045
1,0.140186916,0.965665236,0.54108065,0.956251944,0.416033116,0.025252088,0.565702459,0.542950677,0.498890489,0.483510487,0.964584481,0.928144308,0.87387996,0.829000016,0.013544571,0.014866482,0.015975502,0.01626353,0.277410238,0.222905068,0.192407392,0.203104021,0.93615498,0.917660558,0.908607632,0.902885712,0.417188357,0.418720736,0.419712552,0.419423253,0.282030214,0.235258973,0.223409224,0.235029031,0.567119931,0.569263186,0.570877969,0.571750737,0.930048439,0.959661283,0.998167746,1,0.97590672,0.986428802,0.988181059,0.992338699,0.802981133,0.806593172,0.746753162,0.797643314,0.499493818,0.099337872,0.190054295,0.379482524,0.189574357,0.19741026,0.474708353,0.150966933,0.413874647,0.032479881,0.122663364
1,0.289719626,0.836909871,0.558769075,0.495097667,0.414768159,0.089877518,0.477197022,0.419335355,0.345478257,0.303703616,0.823603053,0.687075533,0.498878377,0.362037143,0.107170253,0.090264608,0.089149665,0.088068454,0.307420183,0.280075773,0.276742767,0.279552427,0.734176645,0.729936599,0.713019971,0.702793856,0.410852202,0.415107951,0.419564431,0.423457216,0.320110538,0.293938015,0.308156292,0.313974276,0.586089648,0.58797157,0.589495402,0.589971383,0.249311043,0.23402102,0.219755666,0.204047001,0.759302152,0.756227962,0.740667569,0.721352919,0.735046571,0.753888011,0.680758187,0.709975957,0.617360964,0.048529213,0.330005039,0.55197458,0.369024397,0.157885793,0.404315972,0.184256343,0.39239496,0.021011611,0.029742569
1,0.03271028,0.811158798,0.457819272,0.768899334,0.414180427,0.059888709,0.820894974,0.843454416,0.740320006,0.672475562,0.875923054,0.732144929,0.543556635,0.39689621,0.023699015,0.020085426,0.019363142,0.019101521,0.122020722,0.092517938,0.074646947,0.096425006,0.940955134,0.929153126,0.918277302,0.909424482,0.303593331,0.300133753,0.299434474,0.301466861,0.117329967,0.090366487,0.09274316,0.115856367,0.470005894,0.466289564,0.464799415,0.465237261,0.580459444,0.550016101,0.528051827,0.494574666,0.938399398,0.930527259,0.916649948,0.901992377,0.931879846,0.94188929,0.857402959,0.90249876,0.617886376,0.06645415,0.300035332,0.498411257,0.285945703,0.140676628,0.502328467,0.154692499,0.526385561,0.031113617,0.037895057
1,0.03271028,0.884120172,0.517119705,1,0.431288984,0.022155978,0.871583227,1,1,1,0.93433859,0.833923873,0.67635485,0.53334262,0,0,0,0,0.100964976,0.045250728,0,0,1,1,1,1,0.393140199,0.395105912,0.397217946,0.399616828,0.0917478,0.029427147,0,0,0.542268526,0.545256678,0.548197284,0.550896226,1,1,1,0.9638196,1,1,1,1,0.952086297,1,1,1,0.625178868,0.074193933,0.286232851,0.471629596,0.23713516,0.161617104,0.486307339,0.187215867,0.431090171,0.041121622,0.044404315
1,0.35046729,0.982832618,0.648830181,0.630840842,0.500979284,0.060438344,0.534890271,0.489435982,0.436968116,0.405808105,0.88524292,0.788414938,0.637406965,0.519746474,0.057821953,0.04289551,0.03619418,0.032736282,0.277315188,0.214416688,0.172996577,0.171764326,0.828968563,0.83071456,0.833693477,0.83510709,0.531445686,0.535927666,0.540883846,0.546050572,0.286476874,0.228589607,0.203573441,0.203979484,0.681908064,0.686119582,0.690943984,0.695163656,0.407130332,0.40165971,0.39804109,0.386479234,0.854083258,0.862627257,0.858473967,0.854236152,0.780612776,0.792446171,0.73129963,0.766728711,0.547400699,0.05636104,0.269430457,0.496595552,0.339887258,0.132317963,0.405877053,0.117188037,0.378075901,0.022277531,0.040667845
