Labels,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
1,0.315017862,0.10506034,0.075913886,0.064558223,0.76707718,0.770860668,0.769462612,0.088371416,0.08780596,0.089051563,0.08865773,0.566529874,0.05989339,0.277700898,0.500226963,0.393685027,0.016850692,0.065506628
1,0.597310635,0.45649364,0.403966987,0.367882225,0.399237224,0.373282035,0.365940588,0.336841377,0.312095325,0.290885838,0.264991689,0.511623329,0.128473534,0.175891598,0.339990921,0.433175694,0.06433513,0.052067042
1,0.48999917,0.256580616,0.220745903,0.210259087,0.487443376,0.454824849,0.444068424,0.258085687,0.259474035,0.264091875,0.258969543,0.419175209,0.097771321,0.161377039,0.362233318,0.27543288,0.043810936,0.049042354
1,0.666515246,0.744349549,0.584653716,0.490782481,0,0.044283718,0.106833098,0.423655573,0.400397549,0.388101707,0.36883907,0.685056242,0.030992111,0.411514514,0.632773491,0.476660701,0.013883199,0.022316086
1,0.686092493,0.527778113,0.483349554,0.463070608,0.26128558,0.253401391,0.273840435,0.465242261,0.443936639,0.423320506,0.395138599,0.605882249,0.05880735,0.289854263,0.49931911,0.353755453,0.014066388,0.081336045
1,0.956251944,0.542950677,0.498890489,0.483510487,0.235258973,0.223409224,0.235029031,0.930048439,0.959661283,0.998167746,1,0.499493818,0.099337872,0.190054295,0.379482524,0.413874647,0.032479881,0.122663364
1,0.495097667,0.419335355,0.345478257,0.303703616,0.293938015,0.308156292,0.313974276,0.249311043,0.23402102,0.219755666,0.204047001,0.617360964,0.048529213,0.330005039,0.55197458,0.39239496,0.021011611,0.029742569
1,0.768899334,0.843454416,0.740320006,0.672475562,0.090366487,0.09274316,0.115856367,0.580459444,0.550016101,0.528051827,0.494574666,0.617886376,0.06645415,0.300035332,0.498411257,0.526385561,0.031113617,0.037895057
1,1,1,1,1,0.029427147,0,0,1,1,1,0.9638196,0.625178868,0.074193933,0.286232851,0.471629596,0.431090171,0.041121622,0.044404315
1,0.630840842,0.489435982,0.436968116,0.405808105,0.228589607,0.203573441,0.203979484,0.407130332,0.40165971,0.39804109,0.386479234,0.547400699,0.05636104,0.269430457,0.496595552,0.378075901,0.022277531,0.040667845
1,0.750076593,0.467148259,0.414964768,0.385949511,0.284824126,0.274109841,0.285336443,0.547505266,0.54647172,0.548452804,0.528943065,0.500215245,0.10417852,0.193256189,0.380390377,0.417484423,0.042118072,0.059402477
1,0.78388741,0.476619031,0.409989489,0.371797001,0.312860505,0.317888286,0.338145303,0.630087946,0.636368432,0.648171303,0.639098569,0.573928002,0.1095503,0.221265515,0.388561053,0.276050231,0.024322303,0.157224855
1,0.316758513,0.207813387,0.150274458,0.120124324,0.581648725,0.595578202,0.615146962,0.106724045,0.100407333,0.101617649,0.099569294,0.547410922,0.101678408,0.222012554,0.406718112,0.336905599,0.036433333,0.056038078
1,0.380053252,0.212681654,0.17483552,0.152854228,0.552026202,0.5230635,0.521685625,0.166983436,0.162901102,0.160192698,0.153506055,0.536530405,0.063854422,0.245637371,0.468906037,0.384716698,0.028215272,0.035773337
1,0.536053587,0.205228253,0.174095846,0.165239157,0.560589342,0.533045704,0.523869828,0.306424368,0.318867548,0.3324802,0.333720019,0.500592324,0.072551567,0.220355696,0.438492964,0.384860284,0.033420915,0.060370849
1,0.500294724,0.249634578,0.219982871,0.202405808,0.463299102,0.42029336,0.424393265,0.291336267,0.297460684,0.298307992,0.29094451,0.538262927,0.070347773,0.236617714,0.448479346,0.426789693,0.034329773,0.071837303
1,0.260886937,0.143982315,0.111301437,0.096196735,0.690284451,0.6772294,0.668859279,0.085054408,0.082362085,0.082750612,0.081246008,0.528188886,0.061969819,0.249999654,0.478438493,0.274799326,0.018567424,0.053644606
1,0.379903884,0.246022638,0.208093588,0.186153554,0.487519012,0.453575292,0.447466073,0.167589937,0.168158101,0.168996737,0.162784312,0.689796897,0.035392007,0.403987234,0.615070359,0.484757189,0.017393365,0.025828966
1,0.304110219,0.19017649,0.151399541,0.128143684,0.579855057,0.561101351,0.582626612,0.096952589,0.088934853,0.081940935,0.074545011,0.505238101,0.063971328,0.239534054,0.464366773,0.42253342,0.026877416,0.033550589
1,0.253881791,0.140491176,0.112967649,0.100360634,0.687912704,0.669494498,0.653959897,0.109775808,0.108296427,0.107828287,0.105538258,0.498483936,0.106772285,0.189712855,0.377666818,0.341563517,0.04491671,0.067055159
1,0.305362295,0.184510939,0.142231479,0.118000854,0.644324429,0.645375194,0.659307726,0.097550707,0.08884053,0.081712678,0.076580539,0.510099854,0.0951511,0.204455041,0.401270994,0.123786872,0.007574205,0.193497646
1,0.390800546,0.336417777,0.265009538,0.225597893,0.369207208,0.366039772,0.394377814,0.174208927,0.164389553,0.161243353,0.156311455,0.734430578,0.030786944,0.456110514,0.652292329,0.624983284,0.015616833,0.02091838
1,0.499298111,0.199478141,0.178716861,0.165879757,0.599704255,0.546683932,0.528394247,0.257564012,0.260665709,0.265108862,0.260414664,0.597396435,0.11354396,0.250942128,0.414888788,0.447257676,0.071411178,0.053542131
1,0.463415969,0.325823559,0.266111263,0.230888773,0.372670282,0.348253774,0.363816312,0.237333711,0.228320022,0.221714797,0.209795573,0.587045761,0.040724976,0.316700714,0.557421698,0.56172337,0.025314509,0.016870096
