,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Battery Park City,Park,Hotel,Gym,Coffee Shop,Memorial Site,Sandwich Place,Playground,Plaza,Burger Joint,Gourmet Shop
1,Carnegie Hill,Coffee Shop,Café,Yoga Studio,Bookstore,Gym / Fitness Center,Gym,Italian Restaurant,French Restaurant,Cosmetics Shop,Pizza Place
2,Central Harlem,African Restaurant,Cosmetics Shop,Chinese Restaurant,Fried Chicken Joint,French Restaurant,Bar,American Restaurant,Seafood Restaurant,Boutique,Bookstore
3,Chelsea,Coffee Shop,American Restaurant,Art Gallery,Italian Restaurant,Bakery,Ice Cream Shop,French Restaurant,Cycle Studio,Theater,Market
4,Chinatown,Chinese Restaurant,Cocktail Bar,Bakery,Dessert Shop,Spa,Salon / Barbershop,American Restaurant,Optical Shop,Vietnamese Restaurant,Noodle House
5,Civic Center,Coffee Shop,Yoga Studio,Gym / Fitness Center,Spa,Cocktail Bar,Hotel,Wine Shop,French Restaurant,Park,American Restaurant
6,Clinton,Theater,American Restaurant,Gym / Fitness Center,Coffee Shop,Sandwich Place,Italian Restaurant,Gym,Wine Shop,Spa,Hotel
7,East Harlem,Mexican Restaurant,Bakery,Thai Restaurant,Latin American Restaurant,Deli / Bodega,Sandwich Place,Spanish Restaurant,Liquor Store,Gas Station,Taco Place
8,East Village,Bar,Pizza Place,Mexican Restaurant,Wine Bar,Ice Cream Shop,Cocktail Bar,Italian Restaurant,Vietnamese Restaurant,Speakeasy,Korean Restaurant
9,Financial District,Coffee Shop,Bar,Hotel,Cocktail Bar,Pizza Place,Steakhouse,Gym,Café,Park,American Restaurant
10,Flatiron,Cycle Studio,New American Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Gym,Mediterranean Restaurant,American Restaurant,Sporting Goods Shop,Mexican Restaurant
11,Gramercy,Bar,Italian Restaurant,American Restaurant,Bagel Shop,Thai Restaurant,Coffee Shop,Pizza Place,Cocktail Bar,Diner,Playground
12,Greenwich Village,Italian Restaurant,Sushi Restaurant,Clothing Store,Café,Ice Cream Shop,Indian Restaurant,Gym,Boutique,Chinese Restaurant,Burger Joint
13,Hamilton Heights,Pizza Place,Café,Coffee Shop,Mexican Restaurant,Yoga Studio,Park,Caribbean Restaurant,School,Chinese Restaurant,Sandwich Place
14,Hudson Yards,Hotel,Gym / Fitness Center,Café,American Restaurant,Thai Restaurant,Italian Restaurant,Gym,Park,Dog Run,Nightclub
15,Inwood,Mexican Restaurant,Restaurant,Café,Lounge,Spanish Restaurant,Bakery,Park,Pizza Place,Chinese Restaurant,Caribbean Restaurant
16,Lenox Hill,Italian Restaurant,Sushi Restaurant,Coffee Shop,Pizza Place,Cocktail Bar,Café,Gym,Gym / Fitness Center,Burger Joint,Thai Restaurant
17,Lincoln Square,Plaza,Café,Concert Hall,Performing Arts Venue,Theater,Indie Movie Theater,American Restaurant,Gym / Fitness Center,Wine Shop,Italian Restaurant
18,Little Italy,Bakery,Coffee Shop,Café,Mediterranean Restaurant,Chinese Restaurant,Italian Restaurant,Bubble Tea Shop,Cocktail Bar,Ice Cream Shop,Pizza Place
19,Lower East Side,Chinese Restaurant,Bakery,Park,Pizza Place,Ramen Restaurant,Art Gallery,Coffee Shop,Café,Japanese Restaurant,Yoga Studio
